Match{year=2022, month=1, day=8, firstTeam='TSG 1899 Hoffenheim', firstTeamCount=3, secondTeamCount=1, secondTeam='FC Augsburg', watchers=500, stadium='}
Match{year=2022, month=1, day=16, firstTeam='FC Augsburg', firstTeamCount=1, secondTeamCount=1, secondTeam='Eintracht Frankfurt', watchers=, stadium='}
Match{year=2022, month=1, day=22, firstTeam='Bayer 04 Leverkusen', firstTeamCount=5, secondTeamCount=1, secondTeam='FC Augsburg', watchers=750, stadium='}
Match{year=2022, month=2, day=5, firstTeam='FC Augsburg', firstTeamCount=2, secondTeamCount=0, secondTeam='1. FC Union Berlin', watchers=7600, stadium='}
Match{year=2022, month=2, day=12, firstTeam='Borussia Monchengladbach', firstTeamCount=3, secondTeamCount=2, secondTeam='FC Augsburg', watchers=10000, stadium='}
Match{year=2022, month=2, day=19, firstTeam='FC Augsburg', firstTeamCount=1, secondTeamCount=2, secondTeam='Freiburg', watchers=15000, stadium='}
Match{year=2022, month=2, day=27, firstTeam='FC Augsburg', firstTeamCount=1, secondTeamCount=1, secondTeam='Borussia Dortmund', watchers=15330, stadium='}
Match{year=2022, month=3, day=4, firstTeam='Arminia Bielefeld', firstTeamCount=0, secondTeamCount=1, secondTeam='FC Augsburg', watchers=19460, stadium='}
Match{year=2022, month=3, day=19, firstTeam='Stuttgart', firstTeamCount=3, secondTeamCount=2, secondTeam='FC Augsburg', watchers=55785, stadium='}
Match{year=2022, month=4, day=6, firstTeam='FC Augsburg', firstTeamCount=2, secondTeamCount=1, secondTeam='1. FSV Mainz 05', watchers=18122, stadium='}
Match{year=2022, month=4, day=3, firstTeam='FC Augsburg', firstTeamCount=3, secondTeamCount=0, secondTeam='VfL Wolfsburg', watchers=23143, stadium='}
Match{year=2022, month=4, day=9, firstTeam='FC Bayern Munich', firstTeamCount=1, secondTeamCount=0, secondTeam='FC Augsburg', watchers=75000, stadium='}
Match{year=2022, month=4, day=16, firstTeam='FC Augsburg', firstTeamCount=0, secondTeamCount=1, secondTeam='Hertha BSC', watchers=28533, stadium='}
Match{year=2022, month=4, day=24, firstTeam='VfL Bochum', firstTeamCount=0, secondTeamCount=2, secondTeam='FC Augsburg', watchers=23500, stadium='}
Match{year=2022, month=4, day=30, firstTeam='FC Augsburg', firstTeamCount=1, secondTeamCount=4, secondTeam='1. FC Cologne', watchers=29511, stadium='}
Match{year=2022, month=5, day=8, firstTeam='RB Leipzig', firstTeamCount=4, secondTeamCount=0, secondTeam='FC Augsburg', watchers=37029, stadium='}
